area;acertos;min;max;media;ano
CN;32;666,5;727,8;703,48;2016
CN;33;683,0;733,3;711,52;2016
CN;34;688,1;742,8;719,63;2016
CN;35;698,9;754;727,86;2016
CN;36;709,5;759,2;736,32;2016
CN;37;712,6;769,4;745,29;2016
CN;38;723,7;780,4;754,9;2016
CN;39;739,8;790,4;764,98;2016
CN;40;753,2;799,8;775,66;2016
CN;41;762,8;817,5;788,63;2016
CN;42;781,4;837,6;803,08;2016
CN;43;801,7;853;821,21;2016
CN;44;820,6;862,4;843,4;2016
CN;45;871,3;871,3;871,3;2016
LC;0;340,8;342,7;341,65;2016
LC;1;340,8;387,1;349,44;2016
LC;2;340,9;410,6;357,65;2016
LC;3;341,0;429,5;368,3;2016
LC;4;341,0;450,3;378,78;2016
LC;5;341,9;470;390,51;2016
LC;6;342,7;481,9;403,17;2016
LC;7;343,5;497,3;416,99;2016
LC;8;345,6;508,5;431,37;2016
LC;9;346,3;519,5;446,66;2016
LC;10;348,2;529;462,05;2016
LC;11;351,9;538,5;477,46;2016
LC;12;358,3;549;492,31;2016
LC;13;363,7;560,3;506,34;2016
LC;14;369,9;572,5;519,46;2016
LC;15;370,6;582,1;531,56;2016
LC;16;390,0;589,4;542,64;2016
LC;17;408,6;602,5;552,89;2016
LC;18;434,0;606,1;562,22;2016
LC;19;451,6;617,3;571,1;2016
LC;20;482,8;620,4;579,38;2016
LC;21;516,8;628,1;587,37;2016
LC;22;524,2;635,7;594,93;2016
LC;23;544,4;640,6;602,34;2016
LC;24;547,6;648,6;609,52;2016
LC;25;539,5;655,3;616,68;2016
LC;26;575,7;661,7;623,68;2016
LC;27;580,4;667,3;630,68;2016
LC;28;587,4;676,6;637,88;2016
LC;29;596,1;683,6;645,03;2016
LC;30;604,9;692,8;652,5;2016
LC;31;611,4;696,6;660,19;2016
LC;32;619,2;708;668,14;2016
LC;33;630,8;715,7;676,55;2016
LC;34;635,3;725;685,64;2016
LC;35;647,8;733,3;694,92;2016
LC;36;658,8;740,5;705,27;2016
LC;37;670,5;753;715,6;2016
LC;38;683,1;774,1;728,81;2016
LC;39;693,3;780,9;741,69;2016
LC;40;717,3;789,8;754;2016
LC;41;736,0;802,6;758,56;2016
LC;42;755,3;777,6;766;2016
LC;43;746,0;795,1;764,67;2016
MT;0;331,3;331,3;331,3;2016
MT;1;331,3;365;342,49;2016
MT;2;331,4;396,1;348,82;2016
MT;3;331,6;427,8;357,58;2016
MT;4;331,9;461,9;367,6;2016
MT;5;332,1;492,7;378,48;2016
MT;6;332,9;528,3;390,59;2016
MT;7;333,3;557,2;403,89;2016
MT;8;334,3;574,4;418,71;2016
MT;9;334,7;587,9;435,16;2016
MT;10;337,8;598,4;453,39;2016
MT;11;340,3;612,7;473,55;2016
MT;12;344,7;628;495,23;2016
MT;13;346,5;639;518,6;2016
MT;14;353,9;652;542,64;2016
MT;15;353,9;663,5;567,4;2016
MT;16;361,6;676,8;591,22;2016
MT;17;374,0;685,7;613,27;2016
MT;18;393,5;701,2;633,64;2016
MT;19;404,5;709,7;651,43;2016
